channel,v1,chisq,v3,v4,v5,v6,v7,nmass,m1,m2,tb,mu,oh2,v14,v15,si,v17,sv,at,ma,q3,tr
13,41.9735048556,29.9672917101,0.693174881744,3976.4087802057,9.8204271473576E-27,6.6317889091116E-07,3.9000000000000026,87.897450000000006,-110.477069704,495.091927704,24.6796512054,112.407380725,7.8673168278284425E-002,1.361E-09,1.364E-09,9.5258000506552E-46,15.534982638898,1.4167315357200767E-026,2.64151822E+03,1.21552291E+03,-8.7107382E+02,-1.77868492E+03
13,41.973387011,29.2038890915,0.646886044067,2609.3939907975,6.9073332038199E-27,7.0955129034734E-07,3.9000000000000026,87.862599700000004,-108.26787344,433.917679632,16.9776630361,114.792411826,0.10003100691882995,9.678E-10,8.871E-10,8.1761470482458E-46,15.996757920747,1.0677820718457931E-026,-1.72254631E+03,5.71770017E+02,1.80964948E+03,3.02375235E+03
13,41.9684252424,29.5842134023,0.670016069593,830.30959069121,8.8602533492778E-27,6.856585235635E-07,3.9000000000000026,87.857518499999998,-111.786811305,457.980195152,28.1801296739,112.423954374,8.2841506933101300E-002,6.792E-10,5.992E-10,4.6486194180081E-46,15.761835437071,1.3223941561073156E-026,3.4676608E+03,6.91062739E+02,-2.66531979E+03,-2.92714845E+03
13,41.9627734101,29.3904510954,0.659173964689,170.87063892276,6.9018796188924E-27,6.9241472876652E-07,3.9000000000000026,87.801651800000002,-109.38724529,429.971627225,24.4476901129,114.71329521,0.10278620031627692,3.142E-10,2.479E-10,2.5048514846197E-46,15.836018412312,1.0470497908922634E-026,3.50909646E+03,5.94800072E+02,-2.68432303E+03,-2.99249088E+03
13,41.962430009,29.4350290575,0.662037375739,123.73675560154,6.8983220971571E-27,6.876821698674E-07,3.9000000000000026,87.786649600000004,-108.744127274,391.439200079,20.6356302794,114.69628758,0.10082698644117050,2.144E-10,1.574E-10,1.611003278015E-46,15.791311181054,1.0419837836884722E-026,3.44014314E+03,5.32401222E+02,-2.76253292E+03,-2.9115016E+03
13,41.9571242256,29.3250961436,0.654656885972,9672.5439404176,6.9068267174217E-27,7.0146322603786E-07,3.9000000000000026,87.845042899999996,-108.584490655,433.17949161,17.287679662,114.505890919,0.10085863118418752,8.138E-10,7.425E-10,6.9135424155091E-46,15.9194062071,1.0550300264797154E-026,3.54458894E+03,5.88740106E+02,-2.80219558E+03,-2.84501327E+03
13,41.9487443042,29.3096347822,0.654607456509,542.50404253784,6.9066537369279E-27,7.0047849626803E-07,3.9000000000000026,87.813702000000006,-108.825869507,398.947968616,19.3625999372,114.498381683,9.9605143574640648E-002,5.321E-10,4.602E-10,4.3294050096429E-46,15.913980042333,1.0550832668116680E-026,3.3824704E+03,5.69544969E+02,-2.95124493E+03,-2.92448101E+03
13,41.9456142814,29.751088531,0.681897338727,250.2737447163,9.1861930402598E-27,6.7193094274094E-07,3.9000000000000026,87.807143900000000,-112.214393704,454.916485121,32.9171845757,112.186779704,8.1335529952759847E-002,4.024E-10,3.282E-10,2.5861949363634E-46,15.63306634244,1.3471519125458212E-026,3.5035279E+03,6.9198371E+02,-2.65874607E+03,-2.90620421E+03
13,41.9456100813,29.7783837778,0.684204365653,104.05455512761,6.8954332331224E-27,6.6440329855997E-07,3.9000000000000026,87.754737000000006,-108.422236003,352.531985924,21.3625937195,114.990452879,0.10135918333917596,1.74E-10,1.218E-10,1.2805456724049E-46,15.5655575312,1.0078031622235287E-026,3.41874402E+03,5.33447707E+02,-2.94853418E+03,-2.97693076E+03
13,41.944213217,29.3536119373,0.656426030074,41186.11832794,6.9033039891448E-27,6.9940867378117E-07,3.9000000000000026,87.855474500000000,-108.244794499,476.798086098,30.223890246,115.436571346,0.10481930565107836,1.351E-09,1.346E-09,1.2554660816244E-45,15.897715769713,1.0516499457473624E-026,2.58608808E+03,1.2627609E+03,-8.8349263E+02,-1.73825622E+03
